movie_name,genre,rating,year,storyline,cleaned_storyline,cleaned_genre,text_features
30. Longlegs,unknown,6.5,2024,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",pursuit serial killer fbi agent uncovers series occult clues must solve end terrifying killing spree,unknown,pursuit serial killer fbi agent uncovers series occult clues must solve end terrifying killing spree unknown
31. Conclave,unknown,7.4,2024,"When Cardinal Lawrence is tasked with leading the selection of a new Pope, he finds himself in a web of conspiracy and intrigue that could shake the very foundations of the Catholic Church.",cardinal lawrence tasked leading selection new pope finds web conspiracy intrigue could shake foundations catholic church,unknown,cardinal lawrence tasked leading selection new pope finds web conspiracy intrigue could shake foundations catholic church unknown
32. Trap,unknown,5.8,2024,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.,father teen daughter attend pop concert realize entered center dark sinister event,unknown,father teen daughter attend pop concert realize entered center dark sinister event unknown
33. The Beekeeper,unknown,6.3,2024,A former operative of a powerful organization embarks on a brutal campaign for vengeance.,former operative powerful organization embarks brutal campaign vengeance,unknown,former operative powerful organization embarks brutal campaign vengeance unknown
34. Challengers,unknown,7.0,2024,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend.",tashi former tennis prodigy turned coach transformed husband champion overcome recent losing streak redeem need face former best friend tashi ex boyfriend,unknown,tashi former tennis prodigy turned coach transformed husband champion overcome recent losing streak redeem need face former best friend tashi ex boyfriend unknown
35. Speak No Evil,unknown,6.8,2024,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",family invited spend whole weekend lonely home countryside weekend progresses realize dark side lies within family invited,unknown,family invited spend whole weekend lonely home countryside weekend progresses realize dark side lies within family invited unknown
36. It Ends with Us,unknown,6.3,2024,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",woman first love suddenly reenters life relationship charming abusive neurosurgeon upended realizes must learn rely strength make impossible choice future,unknown,woman first love suddenly reenters life relationship charming abusive neurosurgeon upended realizes must learn rely strength make impossible choice future unknown
37. Venom: The Last Dance,unknown,6.0,2024,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,eddie brock venom must make devastating decision pursued mysterious military man alien monsters venom home world,unknown,eddie brock venom must make devastating decision pursued mysterious military man alien monsters venom home world unknown
38. Smile 2,unknown,6.7,2024,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.",embark world tour global pop sensation skye riley begins experiencing increasingly terrifying inexplicable events overwhelmed escalating horrors pressures fame skye forced face past,unknown,embark world tour global pop sensation skye riley begins experiencing increasingly terrifying inexplicable events overwhelmed escalating horrors pressures fame skye forced face past unknown
39. Bone Lake,unknown,5.6,2024,"A couple's vacation at a secluded estate is upended when they're forced to share the mansion with a mysterious couple. A dream getaway spirals into a nightmarish maze of sex, lies, and manipulation, triggering a battle for survival.",couple vacation secluded estate upended forced share mansion mysterious couple dream getaway spirals nightmarish maze sex lies manipulation triggering battle survival,unknown,couple vacation secluded estate upended forced share mansion mysterious couple dream getaway spirals nightmarish maze sex lies manipulation triggering battle survival unknown
40. Small Things Like These,unknown,6.7,2024,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.,devoted father bill furlong discovers disturbing secrets kept local convent uncovers shocking truths,unknown,devoted father bill furlong discovers disturbing secrets kept local convent uncovers shocking truths unknown
41. I'm Still Here,unknown,8.1,2024,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.,woman married former politician military dictatorship brazil forced reinvent chart new course family violent arbitrary act,unknown,woman married former politician military dictatorship brazil forced reinvent chart new course family violent arbitrary act unknown
42. Furiosa: A Mad Max Saga,unknown,7.5,2024,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home.",snatched green place many mothers tyrants dementus immortan joe fight power control young furiosa must survive many trials puts together means find way home,unknown,snatched green place many mothers tyrants dementus immortan joe fight power control young furiosa must survive many trials puts together means find way home unknown
43. Twisters,unknown,6.5,2024,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",kate carter retired tornado chaser meteorologist persuaded return oklahoma work new team new technologies,unknown,kate carter retired tornado chaser meteorologist persuaded return oklahoma work new team new technologies unknown
44. Alien: Romulus,unknown,7.1,2024,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",scavenging deep ends derelict space station group young space colonists come face face terrifying life form universe,unknown,scavenging deep ends derelict space station group young space colonists come face face terrifying life form universe unknown
45. Wolfs,unknown,6.5,2024,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job.",two rival fixers cross paths called help cover prominent new york official misstep one explosive night set aside petty grievances egos finish job,unknown,two rival fixers cross paths called help cover prominent new york official misstep one explosive night set aside petty grievances egos finish job unknown
46. Sonic the Hedgehog 3,unknown,6.9,2024,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",sonic knuckles tails reunite powerful new adversary shadow mysterious villain powers unlike anything faced abilities outmatched team sonic must seek unlikely alliance,unknown,sonic knuckles tails reunite powerful new adversary shadow mysterious villain powers unlike anything faced abilities outmatched team sonic must seek unlikely alliance unknown
47. Joker: Folie à Deux,unknown,5.2,2024,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",struggling dual identity failed comedian arthur fleck meets love life harley quinn incarcerated arkham state hospital,unknown,struggling dual identity failed comedian arthur fleck meets love life harley quinn incarcerated arkham state hospital unknown
48. A Quiet Place: Day One,unknown,6.3,2024,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,young woman named sam finds trapped new york city early stages invasion alien creatures ultra sensitive hearing,unknown,young woman named sam finds trapped new york city early stages invasion alien creatures ultra sensitive hearing unknown
49. A Different Man,unknown,6.9,2024,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare.",aspiring actor undergoes radical medical procedure drastically transform appearance new dream face quickly turns nightmare,unknown,aspiring actor undergoes radical medical procedure drastically transform appearance new dream face quickly turns nightmare unknown
50. Parthenope,unknown,6.5,2024,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters.",woman born sea naples searches happiness long summers youth falling love home city many memorable characters,unknown,woman born sea naples searches happiness long summers youth falling love home city many memorable characters unknown
